Var1	Freq
FPR2	1
Fpr3	1
FST	1
Gal	1
GAPDH	1
GATA2	1
GATA3	1
GCLC	1
GFI1	1
GGTA1P	1
GHRHR	1
GNA13	1
GPX1	1
GPX2	1
GRXCR1	1
GZMB	1
HCLS1	1
HDAC6	1
HDAC9	1
HDC	1
HELZ2	1
HES1	1
HLA-DRB4	1
HPGDS	1
HRK	1
HSD17B4	1
HSPB2	1
ID1	1
ID2	1
IFI27	1
IFN1@	1
IGFBP4	1
IGKV1-16	1
IKZF3	1
IL15	1
IL17D	1
IL17F	1
IL18	1
IL1B	1
IL1F10	1
IL1R2	1
IL24	1
IL33	1
IL36G	1
IL5	1
IL9	1
INSM1	1
Ir64a	1
IRF8	1
ITGAM	1
ITK	1
IVNS1ABP	1
JAG1	1
Jund	1
jun.L	1
KAT5	1
KCNA2	1
KCNJ8	1
KCNT2	1
KDM1A	1
KDR	1
KIAA1549	1
klf2a	1
KMO	1
KNG1	1
Lats2	1
LCK	1
LEPR	1
LGALS1	1
LHCGR	1
LIFR	1
LOC711810	1
LPL	1
LTB4R	1
LTC4S	1
LY6E	1
LYN	1
MAP2K7	1
MARCH8	1
MGST1	1
MID1	1
MIR107	1
MIR132	1
MIR212	1
MIR24-1	1
MIR29B1	1
MIR375	1
Mt1	1
MTA2	1
MTOR	1
NCOA2	1
NFIC	1
NOS1	1
NPC1	1
NPTX1	1
NPY6R	1
NR1H3	1
NR1H4	1
NRAS	1
NUP54	1
Oas1b	1
OMP	1
Or22a	1
PAEP	1
PAX5	1
PCK2	1
PDGFD	1
PDS5B	1
PGR	1
PIK3CB	1
PIWIL1	1
PIWIL2	1
PLA2G4A	1
PLAT	1
PLK1	1
PNPLA7	1
POLR2A	1
POR	1
POU2F1	1
PPARGC1A	1
PPIA	1
PPP1R14A	1
PRDM1	1
PRDX1	1
PRKAB1	1
PSAP	1
PSMB5	1
PSMD4	1
PSMD9	1
PTGR1	1
RBFOX2	1
REL	1
REN	1
RFC3	1
RHOA	1
RPAIN	1
RSPO3	1
RXRB	1
SCD	1
SERPINE1	1
SGK1	1
SH3KBP1	1
SIM1	1
SIM2	1
SIRT1	1
SLC10A1	1
SLC25A5	1
SLC30A9	1
SLC35A3	1
SLC39A14	1
SLC9A1	1
SLCO1A2	1
SMAD3	1
SMC1A	1
SMO	1
SOCS3	1
SOD1	1
SORL1	1
SOX4	1
SOX9	1
SPG21	1
SPRED1	1
SPRR2D	1
SPTLC1	1
SRXN1	1
STAR	1
TAGLN3	1
TCF21	1
TCHP	1
TFF1	1
TGFBI	1
TGM1	1
TIPARP-AS1	1
